Time	Open	High	Low	Close	Volume
2022-12-18 10:00:00	16667.2	16675.9	16654.8	16667.5	2	817
2022-12-18 11:00:00	16667.9	16690	16662.2	16675.6	2	817
2022-12-18 12:00:00	16676.1	16696.8	16644.3	16684.8	2	817
2022-12-18 13:00:00	16685	16698.7	16663.5	16678.9	2	817
2022-12-18 14:00:00	16680.3	16685.3	16635.2	16656.4	2	817
2022-12-18 15:00:00	16656.9	16662.7	16642.2	16647	2	817
2022-12-18 16:00:00	16646.4	16664	16623.7	16655.9	2	817
2022-12-18 17:00:00	16656	16675.3	16644.9	16673.7	2	817
2022-12-18 18:00:00	16673.5	16752.5	16654.1	16708.5	2	817
2022-12-18 19:00:00	16708.7	16727.2	16693.3	16714.2	2	817
2022-12-18 20:00:00	16714.1	16737.1	16704.6	16720.8	2	817
2022-12-18 21:00:00	16721	16741.2	16702.6	16712.4	2	817
2022-12-18 22:00:00	16685.6	16804.7	16683.4	16727.3	2	1293
2022-12-18 23:00:00	16727.3	16780.8	16700.8	16704.7	2	748
2022-12-19 00:00:00	16704.9	16778.9	16689.2	16740	2	759
2022-12-19 01:00:00	16740.2	16766.5	16718.9	16749	2	758
2022-12-19 02:00:00	16749.1	16752.2	16687.6	16689.9	2	759
2022-12-19 03:00:00	16689.7	16695.3	16598.3	16646.3	2	757
2022-12-19 04:00:00	16646.4	16698.7	16638.5	16676.3	2	759
2022-12-19 05:00:00	16676.7	16694.6	16661.6	16670.1	2	759
2022-12-19 06:00:00	16670	16711.9	16662.6	16703.9	2	758
2022-12-19 07:00:00	16704.1	16713.1	16664	16685.9	2	749
2022-12-19 08:00:00	16686.2	16723.1	16674.4	16720.5	2	758
2022-12-19 09:00:00	16720.6	16729.6	16698.4	16716.5	2	759
2022-12-19 10:00:00	16716.3	16742.8	16712.2	16731.7	2	759
2022-12-19 11:00:00	16731.8	16734.7	16690.3	16699.6	2	758
2022-12-19 12:00:00	16699.1	16719.4	16684	16707.5	2	759
2022-12-19 13:00:00	16707.6	16718.9	16675.5	16676	2	759
2022-12-19 14:00:00	16675.7	16722.1	16633.5	16696.6	2	759
2022-12-19 15:00:00	16696.7	16701.8	16631.2	16632.6	2	758
2022-12-19 16:00:00	16633.3	16657.9	16552.1	16596.1	2	759
2022-12-19 17:00:00	16596.3	16607.7	16487.4	16560.5	2	758
2022-12-19 18:00:00	16560.9	16594.9	16495	16506.4	2	759
2022-12-19 19:00:00	16506.4	16545.6	16492.3	16516.6	2	754
2022-12-19 20:00:00	16516.5	16572.3	16502.5	16558.4	2	759
2022-12-19 21:00:00	16558.2	16602.1	16547	16547.2	2	754
2022-12-19 22:00:00	16546.4	16567.4	16240.1	16378	2	759
2022-12-19 23:00:00	16378.5	16419	16339.8	16401.7	2	759
2022-12-20 00:00:00	16400.9	16437.6	16362.3	16425	2	758
2022-12-20 01:00:00	16424.7	16563.5	16410.6	16540.2	2	759
2022-12-20 02:00:00	16540.9	16800.2	16513.9	16680.9	2	759
2022-12-20 03:00:00	16681.4	16782.5	16640	16689.4	2	759
2022-12-20 04:00:00	16688.9	16835.3	16655.6	16756	2	759
2022-12-20 05:00:00	16756.1	16772.4	16720.6	16748.8	2	759
2022-12-20 06:00:00	16748.9	16801.6	16713.5	16800.7	2	759
2022-12-20 07:00:00	16800.8	16806.6	16747.1	16765.9	2	754
2022-12-20 08:00:00	16766.4	16797.9	16735.1	16787	2	758
2022-12-20 09:00:00	16786.9	16814.6	16766.1	16775	2	759
2022-12-20 10:00:00	16774.6	16790.8	16732.7	16740.2	2	759
2022-12-20 11:00:00	16740.5	16801.1	16730.4	16775.3	2	759
2022-12-20 12:00:00	16775.5	16814.2	16765.5	16781.2	2	757
2022-12-20 13:00:00	16781.1	16791.1	16750.4	16757.2	2	759
2022-12-20 14:00:00	16757.5	16931.6	16687.8	16864.3	2	759
2022-12-20 15:00:00	16864.3	17011.7	16863.6	16884.8	2	757
2022-12-20 16:00:00	16884.7	16894	16741.7	16800.6	2	754
2022-12-20 17:00:00	16800.6	16815.9	16753.6	16775.8	2	758
2022-12-20 18:00:00	16775.4	16824.3	16735.5	16800.1	2	757
2022-12-20 19:00:00	16800.4	16871.4	16800.4	16859.8	2	759
2022-12-20 20:00:00	16859.6	16887.1	16808.5	16822.9	2	759
2022-12-20 21:00:00	16822.8	16855.9	16802.3	16845.1	2	759
2022-12-20 22:00:00	16839.9	16872.3	16820.1	16833.7	2	759
2022-12-20 23:00:00	16833.7	16885.4	16832.6	16863.3	2	755
2022-12-21 00:00:00	16862.7	16884.7	16783.9	16807.8	2	741
2022-12-21 01:00:00	16807.8	16840.7	16792.5	16831.3	2	736
2022-12-21 02:00:00	16831.6	16840.5	16808.9	16812.5	2	760
2022-12-21 03:00:00	16812.6	16813.5	16763.5	16799.4	2	759
2022-12-21 04:00:00	16798.6	16799.2	16751.2	16759.1	2	752
2022-12-21 05:00:00	16759.3	16808.2	16738.3	16797.8	2	758
2022-12-21 06:00:00	16798.2	16815.2	16787	16799.2	2	759
2022-12-21 07:00:00	16800.2	16810.6	16779.5	16783.8	2	759
2022-12-21 08:00:00	16783.8	16851.2	16763.8	16829.1	2	742
2022-12-21 09:00:00	16828.2	16842.7	16812.6	16834.3	2	751
